Exeter,Chesterfield,0-2
Southend,Rochdale,1-1
Bristol Rvs,Portsmouth,2-0
Dag and Red,Torquay,0-1
Fleetwood Town,Cheltenham,0-2
Hartlepool,Burton,1-1
Mansfield,Accrington,2-3
Northampton,Wycombe,1-4
Plymouth,Bury,2-1
Scunthorpe,Morecambe,2-0
York,Oxford,0-0
Accrington,York,1-1
AFC Wimbledon,Southend,0-1
Burton,Northampton,1-0
Bury,Scunthorpe,2-2
Cheltenham,Exeter,1-0
Chesterfield,Hartlepool,1-1
Morecambe,Fleetwood Town,1-0
Oxford,Plymouth,2-3
Portsmouth,Dag and Red,1-0
Rochdale,Mansfield,3-0
Torquay,Bristol Rvs,1-1
Wycombe,Newport County,0-1
Accrington,Southend,1-1
AFC Wimbledon,Plymouth,1-1
Burton,Newport County,1-0
Bury,York,2-1
Cheltenham,Mansfield,1-2
Chesterfield,Dag and Red,1-1
Morecambe,Hartlepool,1-2
Oxford,Scunthorpe,0-2
Portsmouth,Northampton,0-0
Rochdale,Bristol Rvs,2-0
Torquay,Exeter,1-3
Dag and Red,AFC Wimbledon,1-0
Fleetwood Town,Accrington,3-1
Hartlepool,Bury,0-3
Mansfield,Burton,0-0
Plymouth,Torquay,2-0
Scunthorpe,Rochdale,3-0
Southend,Portsmouth,2-1
York,Morecambe,1-0
Exeter,Mansfield,0-1
Newport County,Northampton,1-2
Torquay,Morecambe,1-1
Wycombe,AFC Wimbledon,0-3
York,Dag and Red,3-1
Accrington,Newport County,3-3
AFC Wimbledon,Torquay,0-2
Bristol Rvs,Exeter,2-1
Burton,Cheltenham,2-1
Chesterfield,Bury,4-0
Dag and Red,Fleetwood Town,0-1
Hartlepool,Rochdale,0-3
Mansfield,Scunthorpe,0-2
Morecambe,Wycombe,1-1
Northampton,York,0-2
Oxford,Portsmouth,0-0
Plymouth,Southend,1-1
Bury,Burton,0-0
Cheltenham,Accrington,1-2
Fleetwood Town,Hartlepool,2-0
Portsmouth,Mansfield,1-1
Rochdale,Plymouth,3-0
Scunthorpe,AFC Wimbledon,0-0
Southend,Chesterfield,3-0
Wycombe,Oxford,0-1
York,Bristol Rvs,0-0
Chesterfield,Rochdale,2-2
AFC Wimbledon,Exeter,2-1
Bristol Rvs,Newport County,3-1
Burton,Fleetwood Town,2-4
Dag and Red,Scunthorpe,3-3
Hartlepool,York,2-0
Mansfield,Wycombe,2-2
Morecambe,Portsmouth,2-2
Northampton,Chesterfield,1-3
Oxford,Torquay,1-0
Plymouth,Cheltenham,1-1
Scunthorpe,Fleetwood Town,0-0
AFC Wimbledon,Hartlepool,2-1
Bristol Rvs,Accrington,0-1
Dag and Red,Southend,1-1
Exeter,Oxford,0-0
Wycombe,Portsmouth,0-1
York,Chesterfield,0-2
Southend,Newport County,0-0
Burton,Exeter,1-1
