Rotherham,Coventry,1-3
Tranmere,Wolves,1-1
Walsall,Sheffield United,2-1
Gillingham,Wolves,1-0
Shrewsbury,Leyton Orient,0-2
Bradford,Bristol City,1-1
Brentford,Port Vale,2-0
Colchester,Gillingham,3-0
Leyton Orient,Carlisle,4-0
Milton Keynes Dons,Shrewsbury,3-2
Notts County,Sheffield United,2-1
Oldham,Stevenage,1-0
Rotherham,Crewe,4-2
Swindon,Peterboro,2-1
Tranmere,Walsall,1-1
Wolves,Preston,2-0
Coventry,Crawley Town,2-2
Stevenage,Swindon,2-0
Walsall,Oldham,1-0
Bristol City,Milton Keynes Dons,2-2
Carlisle,Colchester,2-4
Crewe,Leyton Orient,1-2
Gillingham,Swindon,2-0
Peterboro,Tranmere,3-0
Port Vale,Oldham,1-0
Preston,Coventry,1-1
Sheffield United,Bradford,2-2
Shrewsbury,Rotherham,0-3
Stevenage,Notts County,0-1
Walsall,Brentford,1-1
Crewe,Milton Keynes Dons,2-0
Peterboro,Notts County,4-3
Brentford,Gillingham,2-1
Notts County,Walsall,1-5
Oldham,Peterboro,5-4
Rotherham,Crawley Town,2-2
Swindon,Shrewsbury,3-1
Tranmere,Crewe,1-0
Wolves,Bristol City,3-1
Bradford,Preston,0-0
Brentford,Bristol City,3-1
Carlisle,Milton Keynes Dons,3-0
Leyton Orient,Coventry,2-0
Oldham,Wolves,0-3
Tranmere,Rotherham,1-2
Walsall,Swindon,1-1
Bristol City,Carlisle,2-1
Crewe,Sheffield United,3-0
Gillingham,Port Vale,3-2
Milton Keynes Dons,Tranmere,0-1
Preston,Notts County,2-0
Rotherham,Leyton Orient,2-1
Shrewsbury,Brentford,1-1
Swindon,Oldham,0-1
Wolves,Bradford,2-0
Bristol City,Coventry,1-2
Stevenage,Gillingham,3-1
Bradford,Crewe,3-3
Carlisle,Gillingham,1-2
Leyton Orient,Peterboro,1-2
Notts County,Coventry,3-0
Oldham,Bristol City,1-1
Port Vale,Swindon,2-3
Sheffield United,Shrewsbury,2-0
Tranmere,Preston,1-2
Walsall,Milton Keynes Dons,0-3
Carlisle,Bradford,1-0
Leyton Orient,Bristol City,1-3
Port Vale,Colchester,2-0
Peterboro,Walsall,0-0
Swindon,Colchester,0-0
Bristol City,Tranmere,2-2
Crewe,Brentford,1-3
Milton Keynes Dons,Oldham,2-1
Preston,Leyton Orient,1-1
Rotherham,Stevenage,2-1
Shrewsbury,Port Vale,0-0
Wolves,Notts County,2-0
Bradford,Port Vale,1-0
Coventry,Carlisle,1-2
Leyton Orient,Stevenage,2-0
Milton Keynes Dons,Preston,0-0
Gillingham,Sheffield United,0-1
Bradford,Milton Keynes Dons,1-0
Brentford,Wolves,0-3
Carlisle,Rotherham,1-2
Colchester,Preston,1-2
Leyton Orient,Swindon,2-0
Notts County,Shrewsbury,2-3
Oldham,Gillingham,1-0
Port Vale,Crewe,1-3
Sheffield United,Bristol City,3-0
Stevenage,Peterboro,0-1
Tranmere,Coventry,3-1
Walsall,Crawley Town,1-2
Colchester,Sheffield United,0-1
Oldham,Milton Keynes Dons,1-2
Preston,Rotherham,3-3
Stevenage,Crewe,1-0
Swindon,Crawley Town,1-1
Bradford,Stevenage,2-3
Bristol City,Gillingham,2-1
Carlisle,Brentford,0-0
Crawley Town,Peterboro,1-0
Crewe,Swindon,1-1
Leyton Orient,Colchester,2-1
Milton Keynes Dons,Sheffield United,0-1
Preston,Walsall,2-1
Rotherham,Notts County,6-0
Tranmere,Oldham,2-2
Wolves,Port Vale,3-0
Coventry,Shrewsbury,0-0
Colchester,Rotherham,0-0
Crawley Town,Stevenage,1-1
Sheffield United,Peterboro,2-0
Coventry,Walsall,2-1
Brentford,Bradford,2-0
Colchester,Coventry,2-1
Gillingham,Crawley Town,1-0
Notts County,Leyton Orient,0-0
Oldham,Preston,1-3
Peterboro,Crewe,4-2
Port Vale,Carlisle,2-1
Shrewsbury,Bristol City,2-3
Stevenage,Tranmere,3-1
Swindon,Milton Keynes Dons,1-2
Walsall,Wolves,0-3
Brentford,Tranmere,2-0
Colchester,Bradford,0-2
Gillingham,Coventry,4-2
Notts County,Milton Keynes Dons,1-3
Oldham,Rotherham,0-2
Peterboro,Bristol City,1-2
Port Vale,Leyton Orient,0-2
Shrewsbury,Crawley Town,1-1
Stevenage,Preston,1-1
Swindon,Wolves,1-4
Walsall,Crewe,1-1
Sheffield United,Carlisle,1-0
Bradford,Gillingham,1-1
Bristol City,Swindon,0-0
Carlisle,Stevenage,0-0
Crawley Town,Colchester,1-0
Crewe,Oldham,1-1
Leyton Orient,Brentford,0-1
Milton Keynes Dons,Peterboro,0-2
Rotherham,Walsall,1-1
Tranmere,Notts County,3-2
Wolves,Shrewsbury,0-0
Coventry,Port Vale,2-2
Preston,Sheffield United,0-0
Colchester,Shrewsbury,1-0
