QPR,Nott'm Forest,5-2
Sheffield Weds,Blackburn,3-3
Yeovil,Bournemouth,1-1
Reading,Leicester,1-1
Charlton,Barnsley,1-2
Blackburn,Yeovil,0-0
Blackpool,Burnley,0-1
Bournemouth,Sheffield Weds,2-4
Charlton,Bolton,0-0
Doncaster,Derby,0-2
Huddersfield,Brighton,1-1
Wigan,Reading,3-0
Barnsley,Leeds,0-1
Leicester,QPR,1-0
Middlesbrough,Millwall,1-2
Nott'm Forest,Birmingham,1-0
Watford,Ipswich,3-1
Birmingham,Blackburn,2-4
Brighton,Blackpool,1-1
Burnley,Wigan,2-0
Derby,Barnsley,2-1
Ipswich,Bournemouth,2-2
Leeds,Nott'm Forest,0-2
Millwall,Doncaster,0-0
QPR,Watford,2-1
Sheffield Weds,Charlton,2-3
Yeovil,Huddersfield,1-2
Bolton,Leicester,0-1
Reading,Middlesbrough,2-0
Brighton,Yeovil,2-0
Birmingham,Leeds,1-3
Bournemouth,Nott'm Forest,4-1
Burnley,Ipswich,1-0
Charlton,Blackburn,1-3
Derby,Watford,4-2
Doncaster,Reading,1-3
Huddersfield,Leicester,0-2
Middlesbrough,Barnsley,3-1
QPR,Millwall,1-1
Sheffield Weds,Bolton,1-3
Wigan,Blackpool,0-2
Birmingham,Wigan,0-1
Charlton,Watford,3-1
Barnsley,QPR,2-3
Blackburn,Wigan,4-3
Blackpool,Charlton,0-3
Bolton,Birmingham,2-2
Ipswich,Sheffield Weds,2-1
Leeds,Derby,1-1
Leicester,Doncaster,1-0
Millwall,Bournemouth,1-0
Nott'm Forest,Brighton,1-2
Reading,Burnley,2-2
Watford,Huddersfield,1-4
Yeovil,Middlesbrough,1-4
