Welling United,Macclesfield,1-0
Dartford,Chester,0-1
Alfreton Town,Lincoln,1-1
Barnet,Gateshead,0-1
Braintree Town,Hereford,1-1
Forest Green,Cambridge,3-2
Hyde United,Halifax,1-5
Macclesfield,Grimsby,1-1
Nuneaton Town,Welling United,2-0
Salisbury,Luton,0-0
Tamworth,Aldershot,1-0
Woking,Southport,2-0
Wrexham,Kidderminster,0-0
Aldershot,Chester,2-0
Alfreton Town,Hyde United,3-0
Braintree Town,Wrexham,3-0
Cambridge,Luton,1-1
Forest Green,Salisbury,4-0
Grimsby,Hereford,1-1
Kidderminster,Macclesfield,2-1
Lincoln,Welling United,1-2
Nuneaton Town,Tamworth,1-0
Forest Green,Braintree Town,0-2
Aldershot,Nuneaton Town,2-2
Cambridge,Dartford,1-1
Chester,Alfreton Town,0-1
Grimsby,Wrexham,3-1
Hereford,Hyde United,0-0
Kidderminster,Barnet,1-0
Lincoln,Braintree Town,2-0
Salisbury,Gateshead,0-0
Southport,Macclesfield,4-1
Tamworth,Forest Green,1-2
Welling United,Halifax,0-1
Luton,Woking,0-1
Aldershot,Kidderminster,0-0
Alfreton Town,Tamworth,4-2
Braintree Town,Lincoln,0-2
Cambridge,Welling United,2-1
Chester,Southport,2-2
Forest Green,Grimsby,2-1
Macclesfield,Barnet,2-0
Wrexham,Hereford,2-0
Barnet,Hereford,2-0
Braintree Town,Aldershot,1-0
Forest Green,Welling United,0-0
Gateshead,Lincoln,3-1
Hyde United,Dartford,0-2
Kidderminster,Southport,1-1
Luton,Chester,3-0
Macclesfield,Tamworth,2-1
Nuneaton Town,Grimsby,0-1
Wrexham,Salisbury,1-1
Halifax,Alfreton Town,2-0
Aldershot,Gateshead,1-2
Chester,Tamworth,2-0
Grimsby,Luton,1-2
Welling United,Braintree Town,0-2
Salisbury,Cambridge,0-3
Braintree Town,Nuneaton Town,2-1
Southport,Forest Green,2-0
Aldershot,Hyde United,1-0
Alfreton Town,Nuneaton Town,1-1
Cambridge,Barnet,1-1
Dartford,Macclesfield,2-1
Gateshead,Braintree Town,1-0
Halifax,Luton,2-0
Hereford,Grimsby,0-1
Salisbury,Kidderminster,1-1
Tamworth,Lincoln,0-0
Welling United,Chester,2-0
Woking,Wrexham,2-1
Dartford,Luton,1-2
Macclesfield,Cambridge,0-1
Southport,Braintree Town,0-4
Woking,Forest Green,2-1
Wrexham,Grimsby,0-1
Halifax,Braintree Town,0-0
Alfreton Town,Welling United,2-2
Barnet,Forest Green,2-1
Braintree Town,Salisbury,0-1
Cambridge,Southport,3-1
Chester,Hyde United,3-2
Gateshead,Tamworth,5-0
Hereford,Woking,0-2
Kidderminster,Grimsby,0-1
Lincoln,Dartford,0-0
Luton,Aldershot,1-0
Nuneaton Town,Halifax,0-1
Wrexham,Macclesfield,1-0
Alfreton Town,Aldershot,1-4
Braintree Town,Macclesfield,0-1
Forest Green,Kidderminster,1-1
Grimsby,Woking,2-2
Hyde United,Salisbury,0-2
Luton,Tamworth,2-0
Southport,Barnet,1-1
Welling United,Hereford,0-1
Dartford,Grimsby,1-0
Woking,Cambridge,0-3
Barnet,Halifax,0-4
Cambridge,Hyde United,7-2
Dartford,Forest Green,0-1
Grimsby,Chester,2-1
Hereford,Gateshead,0-1
Kidderminster,Welling United,2-0
Luton,Braintree Town,2-3
Macclesfield,Aldershot,1-1
Salisbury,Lincoln,1-2
Southport,Tamworth,2-0
Woking,Alfreton Town,2-1
Wrexham,Nuneaton Town,3-0
Braintree Town,Gateshead,0-0
Grimsby,Halifax,0-1
Kidderminster,Cambridge,2-0
Macclesfield,Forest Green,1-2
Aldershot,Salisbury,3-2
Alfreton Town,Grimsby,3-3
Braintree Town,Dartford,1-0
Gateshead,Southport,2-2
Hyde United,Kidderminster,1-3
Lincoln,Cambridge,1-0
Tamworth,Hereford,1-0
Chester,Wrexham,0-0
Forest Green,Woking,2-2
Halifax,Macclesfield,2-1
